
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.033033,0.0000,0.0000,0.0000,-0.0134,-0.0874,0.0067,0.0000,0.0000,0.0000,
0.037181,0.0000,0.0000,0.0000,-0.0134,-0.0874,0.0067,-10.2460,0.2220,-101.6500,
0.052756,0.0000,0.0000,0.0000,-0.0134,-0.0874,0.0067,-10.2460,0.2220,-101.6500,
0.053187,0.0000,0.0000,0.0000,-0.0134,-0.0874,0.0067,-10.2460,0.2220,-101.6500,
0.073366,0.0000,0.0000,0.0000,-0.0134,-0.0874,0.0067,-10.2460,0.2220,-101.6500,
0.093147,0.0000,0.0000,0.0000,-0.0134,-0.0874,0.0067,-10.2460,0.2220,-101.6500,
0.097306,0.0000,0.0000,0.0000,-0.0134,-0.0874,0.0067,-10.5180,-0.1810,-103.1920,
0.113044,0.0000,0.0000,0.0000,-0.0134,-0.0874,0.0067,-10.5180,-0.1810,-103.1920,
0.113424,0.0028,-0.0188,-0.0820,-0.0134,-0.0874,0.0067,-10.5180,-0.1810,-103.1920,
0.113785,0.0028,-0.0188,-0.0820,-0.0134,-0.0874,0.0067,-10.5180,-0.1810,-103.1920,
0.133107,0.0028,-0.0188,-0.0820,0.0012,0.0287,-0.0043,-10.5180,-0.1810,-103.1920,
0.153105,0.0028,-0.0188,-0.0820,0.0000,0.0128,0.0031,-10.5180,-0.1810,-103.1920,
0.157462,0.0028,-0.0188,-0.0820,0.0000,0.0128,0.0031,-10.8720,-0.2150,-103.1900,
0.172897,0.0028,-0.0188,-0.0820,0.0000,0.0128,0.0031,-10.8720,-0.2150,-103.1900,
0.173251,-0.0193,0.0280,0.1061,0.0000,0.0128,0.0031,-10.8720,-0.2150,-103.1900,
0.173713,-0.0193,0.0280,0.1061,0.0189,0.0275,0.0073,-10.8720,-0.2150,-103.1900,
0.193723,-0.0193,0.0280,0.1061,0.0440,0.0385,0.0092,-10.8720,-0.2150,-103.1900,
0.213436,-0.0193,0.0280,0.1061,0.0275,0.0244,0.0128,-10.8720,-0.2150,-103.1900,
0.217441,-0.0193,0.0280,0.1061,0.0275,0.0244,0.0128,-10.1730,-0.2410,-103.5250,
0.233202,-0.0193,0.0280,0.1061,0.0275,0.0244,0.0128,-10.1730,-0.2410,-103.5250,
0.233638,-0.0284,-0.0169,-0.0994,0.0275,0.0244,0.0128,-10.1730,-0.2410,-103.5250,
0.234077,-0.0284,-0.0169,-0.0994,0.0055,0.0189,0.0153,-10.1730,-0.2410,-103.5250,
0.257507,-0.0284,-0.0169,-0.0994,-0.0073,0.0214,0.0110,-10.1730,-0.2410,-103.5250,
0.273526,-0.0284,-0.0169,-0.0994,0.0006,0.0238,0.0086,-10.1730,-0.2410,-103.5250,
0.278060,-0.0284,-0.0169,-0.0994,0.0006,0.0238,0.0086,-10.3040,-0.4370,-103.5240,
0.292842,-0.0284,-0.0169,-0.0994,0.0006,0.0238,0.0086,-10.3040,-0.4370,-103.5240,
0.293197,-0.0224,0.0262,0.0902,0.0006,0.0238,0.0086,-10.3040,-0.4370,-103.5240,
0.293559,-0.0224,0.0262,0.0902,0.0073,-0.0116,0.0031,-10.3040,-0.4370,-103.5240,
0.313279,-0.0224,0.0262,0.0902,0.0110,-0.0128,0.0061,-10.3040,-0.4370,-103.5240,
0.333463,-0.0224,0.0262,0.0902,0.0177,-0.0281,0.0018,-10.3040,-0.4370,-103.5240,
0.337624,-0.0224,0.0262,0.0902,0.0177,-0.0281,0.0018,-11.4330,0.0140,-101.8620,
0.354022,-0.0224,0.0262,0.0902,0.0177,-0.0281,0.0018,-11.4330,0.0140,-101.8620,
0.354917,0.0432,-0.0588,-0.0094,0.0177,-0.0281,0.0018,-11.4330,0.0140,-101.8620,
0.355733,0.0432,-0.0588,-0.0094,0.0250,-0.0043,0.0049,-11.4330,0.0140,-101.8620,
0.373586,0.0432,-0.0588,-0.0094,0.0318,0.0079,0.0092,-11.4330,0.0140,-101.8620,
0.394364,0.0432,-0.0588,-0.0094,0.0202,0.0110,0.0055,-11.4330,0.0140,-101.8620,
0.398064,0.0432,-0.0588,-0.0094,0.0202,0.0110,0.0055,-11.7380,0.8920,-103.4090,
0.415793,0.0432,-0.0588,-0.0094,0.0202,0.0110,0.0055,-11.7380,0.8920,-103.4090,
0.416676,0.0044,0.0196,-0.1495,0.0202,0.0110,0.0055,-11.7380,0.8920,-103.4090,
