
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.034339,0.0000,0.0000,0.0000,-0.4435,-0.0098,0.0562,0.0000,0.0000,0.0000,
0.055159,0.0000,0.0000,0.0000,-0.4435,-0.0098,0.0562,21.1670,-6.6050,-18.9180,
0.056333,0.0000,0.0000,0.0000,-0.4435,-0.0098,0.0562,21.1670,-6.6050,-18.9180,
0.070771,0.0000,0.0000,0.0000,-0.4435,-0.0098,0.0562,21.1670,-6.6050,-18.9180,
0.074492,0.0000,0.0000,0.0000,-0.4435,-0.0098,0.0562,21.1670,-6.6050,-18.9180,
0.093872,0.0000,0.0000,0.0000,-0.4435,-0.0098,0.0562,21.1670,-6.6050,-18.9180,
0.115258,0.0000,0.0000,0.0000,-0.4435,-0.0098,0.0562,18.6530,-7.2270,-20.5550,
0.116303,0.0000,0.0000,0.0000,-0.4435,-0.0098,0.0562,18.6530,-7.2270,-20.5550,
0.129675,0.0000,0.0000,0.0000,-0.4435,-0.0098,0.0562,18.6530,-7.2270,-20.5550,
0.130363,-0.0106,0.0235,0.0565,-0.4435,-0.0098,0.0562,18.6530,-7.2270,-20.5550,
0.133771,-0.0106,0.0235,0.0565,0.1258,-0.1594,0.0739,18.6530,-7.2270,-20.5550,
0.154563,-0.0106,0.0235,0.0565,0.0812,-0.1851,0.0715,18.6530,-7.2270,-20.5550,
0.175025,-0.0106,0.0235,0.0565,0.0812,-0.1851,0.0715,16.5770,-8.4410,-20.9770,
0.176119,-0.0106,0.0235,0.0565,0.0702,-0.1607,0.0464,16.5770,-8.4410,-20.9770,
0.190193,-0.0106,0.0235,0.0565,0.0702,-0.1607,0.0464,16.5770,-8.4410,-20.9770,
0.191122,0.3260,0.0775,0.1190,0.0702,-0.1607,0.0464,16.5770,-8.4410,-20.9770,
0.194560,0.3260,0.0775,0.1190,0.0702,-0.0434,0.0024,16.5770,-8.4410,-20.9770,
0.213906,0.3260,0.0775,0.1190,0.0788,0.0666,-0.0415,16.5770,-8.4410,-20.9770,
0.234901,0.3260,0.0775,0.1190,0.0788,0.0666,-0.0415,16.5060,-9.7190,-18.9840,
0.235884,0.3260,0.0775,0.1190,0.0696,0.0684,-0.0690,16.5060,-9.7190,-18.9840,
0.250269,0.3260,0.0775,0.1190,0.0696,0.0684,-0.0690,16.5060,-9.7190,-18.9840,
0.251097,0.0380,-0.0408,-0.1435,0.0696,0.0684,-0.0690,16.5060,-9.7190,-18.9840,
