
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.031590,0.0000,0.0000,0.0000,-0.0574,0.0018,0.0110,0.0000,0.0000,0.0000,
0.033095,0.0000,0.0000,0.0000,-0.0574,0.0018,0.0110,0.0000,0.0000,0.0000,
0.044433,0.0000,0.0000,0.0000,-0.0574,0.0018,0.0110,0.0000,0.0000,0.0000,
0.050819,0.0000,0.0000,0.0000,-0.0574,0.0018,0.0110,-11.8130,-26.4540,-11.1130,
0.052389,0.0000,0.0000,0.0000,-0.0574,0.0018,0.0110,-11.8130,-26.4540,-11.1130,
0.070603,0.0000,0.0000,0.0000,-0.0574,0.0018,0.0110,-11.8130,-26.4540,-11.1130,
0.089923,0.0000,0.0000,0.0000,-0.0574,0.0018,0.0110,-11.8130,-26.4540,-11.1130,
0.101544,0.0000,0.0000,0.0000,-0.0574,0.0018,0.0110,-11.8130,-26.4540,-11.1130,
0.102202,-0.0010,0.1009,0.2182,-0.0574,0.0018,0.0110,-11.8130,-26.4540,-11.1130,
0.109794,-0.0010,0.1009,0.2182,-0.0574,0.0018,0.0110,-10.9980,-26.4700,-11.6700,
0.110506,-0.0010,0.1009,0.2182,-0.0574,0.0018,0.0110,-10.9980,-26.4700,-11.6700,
0.129512,-0.0010,0.1009,0.2182,-0.0574,0.0018,0.0110,-10.9980,-26.4700,-11.6700,
0.149136,-0.0010,0.1009,0.2182,0.0360,-0.0134,0.0092,-10.9980,-26.4700,-11.6700,
0.161316,-0.0010,0.1009,0.2182,0.0360,-0.0134,0.0092,-10.9980,-26.4700,-11.6700,
0.161988,-0.0784,0.0835,0.0402,0.0360,-0.0134,0.0092,-10.9980,-26.4700,-11.6700,
0.171150,-0.0784,0.0835,0.0402,0.0360,-0.0134,0.0092,-10.6000,-25.8740,-10.6820,
0.171954,-0.0784,0.0835,0.0402,0.0501,0.0208,0.0324,-10.6000,-25.8740,-10.6820,
0.189119,-0.0784,0.0835,0.0402,-0.0104,0.0140,0.0562,-10.6000,-25.8740,-10.6820,
0.209459,-0.0784,0.0835,0.0402,-0.0831,-0.0489,0.0739,-10.6000,-25.8740,-10.6820,
0.221090,-0.0784,0.0835,0.0402,-0.0831,-0.0489,0.0739,-10.6000,-25.8740,-10.6820,
0.221709,0.0333,0.0271,-0.2989,-0.0831,-0.0489,0.0739,-10.6000,-25.8740,-10.6820,
0.230306,0.0333,0.0271,-0.2989,-0.0831,-0.0489,0.0739,-10.9200,-25.3570,-11.1230,
0.231139,0.0333,0.0271,-0.2989,-0.1356,-0.1203,0.0513,-10.9200,-25.3570,-11.1230,
0.249128,0.0333,0.0271,-0.2989,-0.1833,-0.0623,0.0122,-10.9200,-25.3570,-11.1230,
0.270148,0.0333,0.0271,-0.2989,-0.0990,0.1497,0.1167,-10.9200,-25.3570,-11.1230,
0.281271,0.0333,0.0271,-0.2989,-0.0990,0.1497,0.1167,-10.9200,-25.3570,-11.1230,
0.282011,-0.1184,-0.0483,0.6250,-0.0990,0.1497,0.1167,-10.9200,-25.3570,-11.1230,
0.290870,-0.1184,-0.0483,0.6250,-0.0990,0.1497,0.1167,-11.6380,-25.4360,-12.4430,
0.291661,-0.1184,-0.0483,0.6250,0.0525,0.1881,0.1319,-11.6380,-25.4360,-12.4430,
0.310716,-0.1184,-0.0483,0.6250,0.1381,0.1515,0.1032,-11.6380,-25.4360,-12.4430,
0.329759,-0.1184,-0.0483,0.6250,0.1491,0.1069,0.0672,-11.6380,-25.4360,-12.4430,
0.340973,-0.1184,-0.0483,0.6250,0.1491,0.1069,0.0672,-11.6380,-25.4360,-12.4430,
0.341524,0.0941,0.1541,-0.0894,0.1491,0.1069,0.0672,-11.6380,-25.4360,-12.4430,
0.350115,0.0941,0.1541,-0.0894,0.1491,0.1069,0.0672,-12.4630,-25.6020,-11.5540,
0.350864,0.0941,0.1541,-0.0894,0.1014,0.0886,0.0287,-12.4630,-25.6020,-11.5540,
0.370453,0.0941,0.1541,-0.0894,-0.0049,0.0721,0.0043,-12.4630,-25.6020,-11.5540,
0.389288,0.0941,0.1541,-0.0894,-0.1069,0.0562,0.0244,-12.4630,-25.6020,-11.5540,
0.402690,0.0941,0.1541,-0.0894,-0.1069,0.0562,0.0244,-12.4630,-25.6020,-11.5540,
0.403250,-0.1567,-0.0036,0.0007,-0.1069,0.0562,0.0244,-12.4630,-25.6020,-11.5540,
0.411054,-0.1567,-0.0036,0.0007,-0.1112,0.0385,0.0721,-12.4630,-25.6020,-11.5540,
0.411804,-0.1567,-0.0036,0.0007,-0.1112,0.0385,0.0721,-11.2660,-25.2980,-10.9010,
0.429460,-0.1567,-0.0036,0.0007,-0.0929,0.0312,0.0874,-11.2660,-25.2980,-10.9010,
0.449116,-0.1567,-0.0036,0.0007,-0.0721,0.0623,0.0672,-11.2660,-25.2980,-10.9010,
0.460988,-0.1567,-0.0036,0.0007,-0.0721,0.0623,0.0672,-11.2660,-25.2980,-10.9010,
0.461671,0.4362,-0.0124,-0.1116,-0.0721,0.0623,0.0672,-11.2660,-25.2980,-10.9010,
0.469701,0.4362,-0.0124,-0.1116,-0.0721,0.0623,0.0672,-9.8090,-24.4280,-11.7970,
0.470399,0.4362,-0.0124,-0.1116,-0.0696,0.0648,0.0086,-9.8090,-24.4280,-11.7970,
0.490308,0.4362,-0.0124,-0.1116,-0.1045,0.0586,-0.0373,-9.8090,-24.4280,-11.7970,
